WORD,STEM
nob,nob
imp,imp
bellows,bellows
biled,bile
thimble,thimble
dwelt,dwell
sleet,sleet
gibbet,gibbet
stragglers,straggler
grazed,graze
snapped,snap
bib,bib
wheelwright,wheelwright
goads,goad
languid,languid
impudence,impudence
boisterous,boisterous
topsy-turvy,topsy-turvy
quaint,quaint
smothered,smother
grovelling,grovel
mendacity,mendacity
impudent,impudent
philistine,philistine
perjury,perjury
weal,weal
effusions,effusion
mendacious,mendacious
devolves,devolve
contriver,contriver
indentures,indenture
corrugated,corrugated
suborned,suborn
linchpin,linchpin
assented,assent
myrmidons,Myrmidon
gloomy,gloomy
remonstrances,remonstrance
ingratitude,ingratitude
fiendishly,fiendishly
fortitude,fortitude
penitence,penitence
sut,sue
vagaries,vagary
countenances,countenance
chin,chin
drudgeries,drudgery
besetting,beset
rag,rag
milling,Mill
tapered,taper
sustenance,sustenance
squiggly,squiggly
crook,crook
deadhead,deadhead
quiver,quiver
befuddled,befuddle
frugal,frugal
glee,glee
obnoxious,obnoxious
oaf,oaf
slop,slop
Inexorably,inexorably
burrowing,burrow
harrumphed,harrumph
unravel,unravel
pouting,pout
shanty,shanty
straggler,straggler
Riveted,rivet
lumbered,lumber
slouching,slouch
piddle,piddle
gruesome,gruesome
bedraggled,bedraggled
staid,staid
doodling,doodle
hooting,hoot
scraggly,scraggly
gnarly,gnarly
winked,wink
unstinting,unstinting
buoyed,buoy
communists,communist
daubing,daub
flaunted,flaunt
smokestack,smokestack
reveled,revel
libertarian,libertarian
heretofore,heretofore
bountiful,bountiful
litmus,litmus
prurient,prurient
fealty,fealty
vestigial,vestigial
purveyors,purveyor
the,the
egregious,egregious
misers,miser
Verily,verily
FELT,felt
pudendum,pudendum
ado,ado
steeds,steed
brocade,brocade
twain,twain
hew,hew
whence,whence
thither,thither
crone,crone
smote,smote
disport,disport
import,import
chieftain,chieftain
heaving,heaving
kremlin,kremlin
raucous,raucous
morrow,morrow
till,till
supplication,supplication
cleft,cleft
verdant,verdant
curtly,curtly
heartsick,heartsick
mettle,mettle
posturing,posture
disported,disport
puffed,puffed
paltry,paltry
fitfully,fitfully
them,them
matting,matting
rosebud,rosebud
swagger,swagger
finagle,finagle
doozy,doozy
plink,plink
ensnared,ensnare
smorgasbord,smorgasbord
sassy,sassy
Draped,drape
damsels,damsel
piddling,piddling
tryst,tryst
unrequited,unrequited
gaudiness,gaudiness
smelters,smelter
dinginess,dinginess
wobblies,Wobblies
mucker,mucker
numbskull,numbskull
guileless,guileless
gallon,gallon
gaff,gaff
though,though
broadside,broadside
chive,chives
shuck,shuck
coyly,coyly
haymakers,haymaker
sock,sock
scolding,scolding
furl,furl
quaffed,quaff
inasmuch,inasmuch
vernacular,vernacular
caboose,caboose
dissipated,dissipated
gander,gander
stilted,stilted
swiveled,swivel
leered,leer
yowling,yowl
wop,wop
swarthy,swarthy
snicked,snick
mooncalf,mooncalf
flitted,flit
stilts,stilt
sash,sash
floozies,floozie
preening,preen
uncanny,uncanny
hasp,hasp
duds,dud
dimples,dimple
pronged,pronged
rivet,rivet
brisk,brisk
hunky,hunky
jauntily,jauntily
splay,splay
phials,phial
sly,sly
panatela,panatela
tomcats,tomcat
tramping,tramp
snooper,snooper
wisecrack,wisecrack
street,street
fanny,fanny
gouged,gouge
smudging,smudge
jiggling,jiggle
jism,jism
hollered,holler
shoal,shoal
unduly,unduly
lovelorn,lovelorn
innuendoes,innuendo
glances,glance
throes,throes
dinghy,dinghy
forsook,forsake
misgivings,misgiving
filberts,filbert
jingles,jingle
lark,lark
extol,extol
obsolescence,obsolescence
ingenuous,ingenuous
curmudgeon,curmudgeon
laggard,laggard
yawl,yawl
thronged,throng
perambulators,perambulator
matrons,matron
buccaneers,buccaneer
sorrow,sorrow
punctilious,punctilious
sumptuary,sumptuary
ruefulness,ruefulness
asters,aster
gabardines,gabardine
buckshot,buckshot
gables,Gable
quaked,quake
balefully,balefully
knell,knell
tautened,tauten
dank,dank
fiend,fiend
sapper,sapper
Irredentist,irredentist
forbidding,forbidding
quibble,quibble
streaked,streak
rapines,rapine
debauchery,debauchery
proffered,proffer
droll,droll
druids,Druid
gleaned,glean
slapdash,slapdash
hoodlum,hoodlum
balk,balk
ravenously,ravenously
quibbles,quibble
hitch,hitch
draperies,drapery
revelling,revel
nettle,nettle
skiff,skiff
tamped,tamp
arbour,arbour
goblets,goblet
wavering,waver
awnings,awning
buttonholed,buttonhole
hobnailed,hobnailed
wards,Ward
crier,crier
legitimist,legitimist
gaiters,gaiter
laced,lace
lugubrious,lugubrious
uptake,uptake
cantankerous,cantankerous
divesting,divest
larks,lark
vagrant,vagrant
dowagers,dowager
gobbledegook,gobbledegook
dejectedly,dejectedly
wan,wan
lassitude,lassitude
lounger,lounger
straggly,straggly
dunce,dunce
cheapskate,cheapskate
mangy,mangy
camisole,camisole
scrounger,scrounger
skulking,skulk
cooper,cooper
hooping,hoop
braided,braid
glum,glum
ramshackle,ramshackle
gargoyles,gargoyle
hubbub,hubbub
bovine,bovine
garb,garb
calico,calico
bespeaks,bespeak
brazier,brazier
nattered,natter
murk,murk
splurge,splurge
sooty,sooty
spate,spate
braziers,brazier
wreathing,wreath
gable,gable
grimy,grimy
mould,mould
meerschaum,meerschaum
squatter,squatter
ghoulish,ghoulish
gruelling,gruelling
gauntlets,gauntlet
tripe,tripe
destitution,destitution
teeming,teem
qualm,qualm
carters,carter
culvert,culvert
squelched,squelch
commiserations,commiseration
splicing,splice
dazed,daze
prow,prow
dunked,dunk
forage,forage
sliver,sliver
erstwhile,erstwhile
coop,coop
lees,lees
traipse,traipse
reeds,Reed
sloth,sloth
supine,supine
piker,piker
smackeroo,smackeroo
fey,fey
tote,tote
casuistry,casuistry
pleonasm,pleonasm
queasiness,queasiness
beggared,beggar
postulant,postulant
blight,blight
grungy,grungy
wary,wary
reed,reed
dunk,dunk
plumage,plumage
squiggles,squiggle
husbandry,husbandry
cowl,cowl
gimmick,gimmick
cloistered,cloistered
dissension,dissension
bumbling,bumbling
rambunctious,rambunctious
brash,brash
internecine,internecine
nurturing,nurture
quagmire,quagmire
sieved,sieve
willies,willies
sniveling,snivel
gawky,gawky
quandary,quandary
hooky,hooky
gourd,gourd
sunshine,sunshine
miser,miser
dissent,dissent
strappy,strappy
infallible,infallible
prior,prior
ravenous,ravenous
sally,sally
sheen,sheen
disquiet,disquiet
burrowed,burrow
pealing,peal
plainchant,plainchant
ransacked,ransack
swooning,swoon
musky,musky
dissolute,dissolute
insidious,insidious
dregs,dregs
drizzled,drizzle
rickety,rickety
goaded,goad
puny,puny
effete,effete
cassock,cassock
humdrum,humdrum
superfluous,superfluous
Congregation,congregation
loath,loath
tiller,tiller
fugue,fugue
strutting,strut
Tureens,tureen
bobbled,bobble
mired,mire
shod,shod
Doctrine,doctrine
rote,rote
unction,unction
yokel,yokel
corralled,corral
quaking,quake
tack,tack
Stymied,stymie
snooty,snooty
levity,levity
surplice,surplice
feral,feral
gawked,gawk
blubbering,blubber
twangy,twangy
prim,prim
ramrod,ramrod
doe,doe
frocks,frock
unfathomable,unfathomable
billowing,billowing
draped,drape
copping,cop
bouffant,bouffant
toned,toned
effusive,effusive
shallots,shallot
slither,slither
mullioned,mullioned
huffed,huff
behemoths,behemoth
petered,Peter
tassels,tassel
flutter,flutter
stately,stately
disheveled,disheveled
morose,morose
queasy,queasy
braying,bray
cursorily,cursorily
chauvinist,chauvinist
haranguing,harangue
jarred,jar
dollop,dollop
windfall,windfall
stifling,stifle
truculent,truculent
hunkering,hunker
ignominiously,ignominiously
teleology,teleology
pageantry,pageantry
stem,stem
bestiary,bestiary
placate,placate
prerogative,prerogative
chancy,chancy
recognizance,recognizance
crackpot,crackpot
paroxysm,paroxysm
unbridled,unbridled
creed,creed
dilettantes,dilettante
supplant,supplant
clamors,clamor
ragtag,ragtag
capacious,capacious
juggernaut,juggernaut
nostrum,nostrum
mollify,mollify
pilfer,pilfer
decked,decked
chief,chief
deference,deference
inebriating,inebriate
mendaciously,mendaciously
acquiescence,acquiescence
palingenetic,palingenetic
humus,humus
truculently,truculently
normative,normative
waxed,wax
fetters,fetter
waned,wane
tepid,tepid
entails,entail
yawning,yawn
incongruously,incongruously
libertinism,libertinism
abetted,abet
paunchy,paunchy
ratcheted,ratchet
flabbiness,flabbiness
posit,posit
gamut,gamut
foundered,founder
toehold,toehold
uncomely,uncomely
piecemeal,piecemeal
aggrandizement,aggrandizement
autarky,autarky
disenfranchise,disenfranchise
alacrity,alacrity
prowess,prowess
vaunted,vaunt
drudgery,drudgery
encroached,encroach
encroachment,encroachment
serrated,serrated
scrimp,scrimp
serré,serré
traînés,traîne
flounced,flounce
shedding,shed
rafter,rafter
slugs,slug
peals,peal
braggart,braggart
paunch,paunch
sequined,sequined
gauche,gauche
clover,clover
steeped,steep
enseignant,enseignant
franchir,franchir
gencives,gencive
matheux,matheux
Souvent,souvent
proviseur,proviseur
chapelet,chapelet
reçue,reçu
étrenné,étrenner
sanglots,sanglot
lèvres,lèvre
cap,cap
apertures,aperture
loopholes,loophole
wield,wield
toiled,toile
micturition,micturition
jutting,jut
woodcuts,woodcut
ravished,ravish
ministrations,ministration
sickly,sickly
gauze,gauze
aught,aught
abashed,abash
draught,draught
tarn,tarn
rushes,rush
revelry,revelry
stout,stout
lopped,lop
brackish,brackish
moor,moor
fanning,Fan
fray,fray
plight,plight
pyre,pyre
Bedlam,Bedlam
Woo,woo
floe,floe
lace,lace
bumpkin,bumpkin
unwavering,unwavering
loft,loft
fortuitous,fortuitous
grasses,Grass
pranced,prance
hackles,hackle
pat,pat
gawk,gawk
blotted,blot
subsided,subside
slaughter,slaughter
flagging,Flagg
hag,hag
kook,kook
grunt,grunt
whittle,whittle
Staggering,stagger
warren,warren
flummoxed,flummox
harrumphs,harrumph
lapsed,lapse
slate,slate
slumber,slumber
pelts,pelt
haunt,haunt
huffy,huffy
whipped,whipped
guffaw,guffaw
riveted,rivet
hoots,hoot
groan,groan
foundling,foundling
Maladroit,maladroit
pergolas,pergola
haunches,haunch
tumbled,tumble
balked,balk
banter,banter
pandering,pander
hubris,hubris
construe,construe
hustled,hustle
awry,awry
wallflower,wallflower
zonked,zonked
bangle,bangle
holdover,holdover
chambray,chambray
decal,decal
Schadenfreude,Schadenfreude
presumptuous,presumptuous
pronouncement,pronouncement
deviousness,deviousness
clam,clam
tattle,tattle
Scoot,scoot
clink,clink
exculpatory,exculpatory
fluff,fluff
petulantly,petulantly
sentient,sentient
dastards,dastard
proclivities,proclivity
brooked,Brooke
koan,koan
hooted,hoot
callow,callow
yelp,yelp
Like,like
tittered,titter
Florida,Florida
Twit,twit
I'm,I'm
lackadaisical,lackadaisical
scions,scion
component,component
glint,glint
scuttle,scuttle
sodden,sodden
reedy,reedy
gruff,gruff
twinged,twinge
celerity,celerity
feckless,feckless
wending,Wend
tutted,tut
aspersions,aspersion
wanly,wanly
warily,warily
quotient,quotient
chittered,chitter
snag,snag
lest,lest
nigh,nigh
tang,tang
damper,damper
gnarled,gnarled
whooping,whoop
yattering,yatter
doddle,doddle
shimmying,shimmy
trundled,trundle
glossy,glossy
gull,gull
icky,icky
jig,jig
cranny,cranny
raggedy,raggedy
suffused,suffuse
tetchy,tetchy
duppy,duppy
rippling,ripple
preens,preen
Drambuie,Drambuie
shaggy,shaggy
blundered,blunder
grubs,grub
muster,muster
pounce,pounce
scowled,scowl
Doozy,doozy
cragged,crag
midges,midge
swish,swish
sniffed,sniff
brawling,brawl
sauntered,saunter
sniffle,sniffle
ratchets,ratchet
vixen,vixen
mauve,mauve
flailed,flail
loped,lope
malarkey,malarkey
SUPERFLUOUS,superfluous
kneading,knead
joshing,josh
hitherto,hitherto
mollified,mollify
nook,nook
seminal,seminal
denizens,denizen
flails,flail
shunned,shun
chug,chug
cursory,cursory
purview,purview
beeline,beeline
haggard,haggard
subsides,subside
vapid,vapid
bogey,bogey
quirky,quirky
recumbent,recumbent
wicks,wick
its,its
commodity,commodity
stricken,stricken
motion,motion
battery,battery
din,din
coalesces,coalesce
foreboding,foreboding
grueling,grueling
bleachers,bleacher
hustling,hustle
pelting,pelt
spout,spout
wisps,wisp
swivels,swivel
tether,tether
funk,funk
hopped,hop
lam,lam
gage,gage
blotter,blotter
thrashed,thrash
hemmed,hem
nub,nub
cur,cur
burr,burr
hominy,hominy
grated,grate
okra,okra
rustlers,rustler
beneath,beneath
larceny,larceny
doggedly,doggedly
lammed,lam
rook,rook
reefer,reefer
rumpus,rumpus
somersault,somersault
gunny,gunny
fingernails,fingernail
mayhem,mayhem
yaller,y'all
slushy,slushy
gaged,gage
husky,husky
scabby,scabby
burro,burro
rumble,rumble
rostrum,rostrum
ratted,rat
molested,molest
there,there
palsy,palsy
grappled,grapple
steer,steer
trudged,trudge
hustlers,hustler
scows,scow
slunk,slunk
Sheared,shear
no,no
scrunching,scrunch
lurid,lurid
trestle,trestle
slinking,slink
scram,scram
astride,astride
kinky,kinky
jalopy,jalopy
rapped,rap
motley,motley
raving,raving
sullenly,sullenly
flunky,flunky
Wanner,WAN
blipped,blip
quiescent,quiescent
Saracens,Saracen
daubed,daube
complacently,complacently
sultry,sultry
excelsior,excelsior
bashful,bashful
hock,hock
truculence,truculence
gaudier,gaudy
crummy,crummy
lewd,lewd
sulked,sulk
belched,belch
guffawed,guffaw
gooseberry,gooseberry
slugging,slug
chump,chump
sleek,sleek
swart,swart
eyetooth,eyetooth
dippy,dippy
welshed,Welsh
louse,louse
cagey,cagey
salient,salient
throttling,throttle
maced,Mace
sleekness,sleekness
contritely,contritely
ruddiness,ruddiness
kindred,kindred
peddling,peddle
And,and
desultory,desultory
sullen,sullen
chafe,chafe
bawling,bawl
slants,slant
flourished,flourish
genial,genial
hustler,hustler
hussy,hussy
rowdy,rowdy
huskier,huskie
lode,lode
copper,copper
chinch,chinch
stolidly,stolidly
gall,gall
giddily,giddily
bellyaching,bellyache
slug,slug
wow,wow
cop,cop
roughhouse,roughhouse
guzzled,guzzle
mutt,mutt
cooing,coo
blackjack,blackjack
speakeasies,speakeasy
gladstone,Gladstone
loafing,loaf
duffer,duffer
marcelled,marcel
consumptive,consumptive
manhandled,manhandle
mosey,mosey
jabbered,jabber
roadhouse,roadhouse
OF,OF
dwindling,dwindle
cockeyed,cockeyed
toting,tot
blustering,bluster
rummy,rummy
tramp,tramp
juggled,juggle
woozy,woozy
leery,leery
petering,Peter
cuspidor,cuspidor
gluttony,gluttony
ghastly,ghastly
floundered,flounder
squawk,squawk
huskily,huskily
stolidity,stolidity
racket,racket
caper,caper
leary,Leary
blooey,blooey
bunk,bunk
flunkey,flunkey
exhort,exhort
Wherefore,wherefore
behold,behold
goodly,goodly
tarry,tarry
iniquity,iniquity
smite,smite
hearkened,hearken
placid,placid
croaker,croaker
Pounding,pounding
thwarted,thwart
hiding,hiding
cloven,cloven
florid,florid
rattler,rattler
plodded,plod
recess,recess
Cove,cove
gratuitously,gratuitously
peddle,peddle
had,had
weaning,wean
Bunk,bunk
satisfying,satisfying
room,room
bungle,bungle
scrawny,scrawny
grift,grift
flimflamming,flimflam
smolder,smolder
wangle,wangle
tinged,tinge
sorrel,sorrel
hoops,hoop
gimcrackery,gimcrackery
mongrels,mongrel
offhand,offhand
tartar,tartar
wagged,wag
dinge,ding
jiggled,jiggle
wiggling,wiggle
roadster,roadster
lanky,lanky
conceited,conceited
stolid,stolid
ragged,ragged
wriggled,wriggle
fastidious,fastidious
writhing,writhe
charwomen,charwoman
lag,lag
alcove,alcove
aid,aid
drab,drab
wayward,wayward
cockups,cock-up
chichi,chichi
breeze,breeze
pill,pill
scampering,scamper
waspish,waspish
curios,curio
Publicans,publican
snatches,snatch
strands,strand
endowment,endowment
tinsel,tinsel
parched,parched
seedy,seedy
stroke,stroke
petulant,petulant
devilling,devil
rusks,Rusk
incongruous,incongruous
cardigan,cardigan
jostling,jostle
crags,crag
connivance,connivance
hoe,hoe
tortuous,tortuous
hapless,hapless
ginger,ginger
bray,bray
pontificated,pontificate
becalmed,becalm
bleating,bleat
aerial,aerial
sophistry,sophistry
cussed,cussed
scowl,scowl
disown,disown
expenditure,expenditure
dawdled,dawdle
squalid,squalid
complacent,complacent
tousled,tousle
tinkle,tinkle
doffing,doff
hurtling,hurtle
homily,homily
beady,beady
testy,testy
beeches,beech
expedient,expedient
pelmanism,Pelmanism
despondently,despondently
Peculation,peculation
donnish,donnish
spindly,spindly
lithe,lithe
slanted,slant
dingy,dingy
pansy,pansy
ungainly,ungainly
conceits,conceit
protracted,protracted
blandishment,blandishment
superannuation,superannuation
lore,lore
crabbed,crabbed
barouche,barouche
jaunty,jaunty
umbrage,umbrage
sniggered,snigger
canvassing,canvass
shoddy,shoddy
iniquities,iniquity
perfunctory,perfunctory
demurely,demurely
wisecracks,wisecrack
clasped,clasp
dolled,doll
snatch,snatch
dankness,dankness
concertina,concertina
buff,buff
wart,wart
drag,drag
repeal,repeal
opened,open
spruce,spruce
davenport,davenport
croupier,croupier
pup,pup
carfare,carfare
tipped,tip
gag,gag
shamus,shamus
grafters,grafter
shill,shill
whittling,Whittle
disused,disused
hooch,hooch
compulsory,compulsory
zoomed,zoom
wrangle,wrangle
bawdy,bawdy
deadpan,deadpan
haymaker,haymaker
sap,sap
banked,bank
threshed,thresh
haywire,haywire
hooey,hooey
dappled,dapple
wren,wren
shyster,shyster
graft,graft
pinks,pink
swerved,swerve
collodion,collodion
cutaway,cutaway
jostled,jostle
spur,spur
souse,souse
hack,hack
screwy,screwy
bilious,bilious
disclaimed,disclaim
glowing,glowing
snottiness,snottiness
spry,spry
gangling,gangling
badger,badger
tot,tot
squawking,squawk
pouted,pout
mopery,mopery
mugg,mugger
tickled,tickle
batty,batty
sulkily,sulkily
dope,dope
goof,goof
peevish,peevish
cinch,cinch
speakeasy,speakeasy
swell,swell
quirk,quirk
slinked,slink
screwball,screwball
insurable,insurable
tautly,tautly
assent,assent
dove,dove
descried,descry
rasped,rasp
girders,girder
pinwheels,pinwheel
abreast,abreast
toiling,toil
clinch,clinch
fastened,fasten
floodlighted,floodlight
onset,onset
circumspection,circumspection
scrimmage,scrimmage
expiatory,expiatory
holly,holly
grove,grove
finning,Finn
creel,creel
riffle,riffle
gleaming,gleam
cooped,coop
lonesome,lonesome
fibbing,fib
saucer,saucer
punk,punk
clotted,clot
snarl,snarl
was,was
bawl,bawl
slob,slob
chortled,chortle
scalloped,scallop
troughs,trough
highball,highball
ruddy,ruddy
bleak,bleak
wizened,wizened
strenuously,strenuously
horrid,horrid
soporific,soporific
brine,brine
jocularity,jocularity
spigots,spigot
heady,heady
husbanded,husband
rind,rind
unsavory,unsavory
gibbets,gibbet
Briars,briar
carillon,carillon
pungent,pungent
reminisce,reminisce
soliloquy,soliloquy
dismal,dismal
obsequious,obsequious
dogged,dogged
imbued,imbue
fleece,fleece
repose,repose
balky,balky
bludgeoning,bludgeon
windward,windward
hatrack,hatrack
lewdness,lewdness
malingering,malinger
routed,route
comely,comely
scalding,scalding
decree,decree
homely,homely
importunate,importunate
hostess,hostess
diffidence,diffidence
perambulator,perambulator
gregarious,gregarious
fatuity,fatuity
leers,leer
furloughs,furlough
contrite,contrite
welts,welt
overbearing,overbearing
astringency,astringency
bandy,bandy
firmament,firmament
straits,straits
distempers,distemper
plaint,plaint
petulance,petulance
ascot,ascot
garishly,garishly
harried,harry
forlorn,forlorn
pugnacious,pugnacious
hamper,hamper
insuperable,insuperable
jonquils,jonquil
waywardness,waywardness
anecdote,anecdote
fatuous,fatuous
vestry,vestry
bluebeards,Bluebeard
crapshooter,crapshooter
tacked,tack
arbor,arbor
cupidity,cupidity
bolt,bolt
slumped,slump
inured,inure
legacy,legacy
hassock,hassock
surreptitiously,surreptitiously
rustle,rustle
saffron,saffron
magpies,magpie
heartening,hearten
GULCH,gulch
contentious,contentious
diverting,divert
Slovenly,slovenly
gopher,gopher
nimble,nimble
alderman,alderman
groove,groove
mumps,mumps
teetering,teeter
gaudy,gaudy
sheerest,sheer
swathed,swathe
cloying,cloy
frontage,frontage
pall,pall
gusher,gusher
doodads,doodad
smut,smut
wean,wean
chantering,chanter
seventeen,seventeen
gushed,gush
mouldering,moulder
nipping,Nip
cajoled,cajole
gimlet,gimlet
shiner,shiner
spinnaker,spinnaker
Glints,glint
chided,chide
hilt,hilt
kerb,kerb
bout,bout
Denizens,denizen
flourish,flourish
abstemious,abstemious
Buggered,bugger
locum,locum
slurred,slur
ghoul,ghoul
mufti,mufti
nippy,nippy
trawl,trawl
knacker,knacker
remonstrations,remonstration
flicked,flick
slack,slack
trite,trite
hoisting,hoist
scudding,scud
nipped,Nip
glib,glib
ghouls,ghoul
and,and
grubby,grubby
fledgling,fledgling
whittled,Whittle
cajoling,cajole
posy,posy
nip,nip
skedaddle,skedaddle
runt,runt
wagging,wag
flinched,flinch
bemused,bemuse
attrition,attrition
sheathed,sheathe
homburg,homburg
baleful,baleful
fluttering,flutter
hoover,Hoover
voluble,voluble
punters,punter
trad,trad
congregate,congregate
spluttered,splutter
trawling,trawl
smug,smug
glam,glam
gyp,gyp
heft,heft
gaudily,gaudily
plod,plod
dabble,dabble
smothering,smother
balm,balm
glowering,glowering
hatchet,hatchet
cachet,cachet
faze,faze
Sanctimonious,sanctimonious
trough,trough
wryest,wry
heirlooms,heirloom
superannuated,superannuate
Stomp,stomp
glare,glare
tinker,tinker
sneers,sneer
prone,prone
panto,panto
louche,louche
croaked,croak
mongrel,mongrel
slouches,slouch
jaunts,jaunt
oaths,oath
sussed,suss
prickling,prickle
moping,mop
glowered,glower
stunted,stunt
blustery,blustery
Kneejerk,knee-jerk
sneered,sneer
buffeting,buffeting
scrimped,scrimp
mottling,mottle
trotted,trot
snarling,snarl
snaring,snare
Smothered,smother
striped,striped
swatted,swat
shimmied,shimmy
adjourning,adjourn
pernicious,pernicious
thunk,thunk
frighteners,frightener
tatters,tatters
jarring,jar
expanse,expanse
onerous,onerous
remonstrating,remonstrate
fraught,fraught
formica,Formica
faltered,falter
bauble,bauble
slogging,slog
scupper,scupper
cheeky,cheeky
jutted,jut
